intent,pattern,response,
greeting,Hi,Hi! What would you like to learn about Star Wars today?,
greeting,Hello,"Hello, there!",
greeting,"Hello, there!",General Kenobi!?,
doubt,I don’t think that is true,I find your lack of faith disturbing.,
doubt,Is that really true?,I find your lack of faith disturbing.,
feedback,I love what you do!,I know.,
feedback,It is an incredible fact,I know.,
feedback,You do a great job!,I know.,
ask_character_darth_vader,Who is Darth Vader?,"Darth Vader, born as Anakin Skywalker, is the secondary antagonist of the Star Wars franchise. ",
ask_character_obi_wan_kenobi,Who is Obi-Wan Kenobi?,"Obi-Wan Kenobi, also known as Ben Kenobi, is one of the main protagonists of the Star Wars franchise. ",
try,I will try to watch it,Do. Or do not. There is no try.,
ask_character_obi_wan_kenobi,Who played Obi-Wan Kenobi?,"He was portrayed by the late Alec Guinness in the original trilogy and in The Force Awakens and The Rise of Skywalker (via archived audio), Ewan McGregor (who also played Mark Renton in Trainspotting, Christian in Moulin Rouge! and Rodney Copperbottom in Robots) in the prequel trilogy and the Kenobi miniseries, as well as in The Force Awakens and The Rise of Skywalker (both as vocal cameos).",
farewell,Bye!,May the Force be with you!,
feedback,This response is wrong,I will be the most powerful Jedi ever.,
ask_character_anakin,Who is Anakin Skywalker?,"He is a legendary Jedi Knight and the hero of the Clone Wars, in addition to being the prophesied Chosen One of the Jedi Order, conceived by the midi-chlorians in his mother’s womb, to destroy the Sith and bring balance to the Force. Known for his combat skills, cunning and bravery, he became known as the Hero With No Fear and was one of the few Jedi still loved and respected by Republic citizens.",
ask_character_anakin,Who is Anakin Skywalker?,"He was the Padawan of Obi-Wan Kenobi, the master of Ahsoka Tano, the third and final Sith apprentice of Darth Sidious (after Darth Maul and Count Dooku), the husband of Padmé Amidala, the father of Luke Skywalker and Leia Organa, the father-in-law of Han Solo, and the grandfather of Kylo Ren. ",
ask_character_anakin,What did Anakin do?,"He betrayed the Jedi and became a Sith Lord known as Darth Vader when he fell to the Dark Side until he sacrificed himself to save his son, Luke and killed Darth Sidious. He becomes a Force Spirit along with Kenobi and Yoda. ",
question,Should I join the Sith order?,IT’S A TRAP!,
ask_character_luke,Who is Luke Skywalker?,Luke Skywalker is one of the main protagonists of the Star Wars franchise. ,
ask_character_luke,Who is Luke Skywalker?,He is an incredible and powerful Jedi Knight who would grow up from being a poor farmer from Tatooine to be trained in the ways of the Force and defeat the Galactic Empire.,
ask_character_luke,Who is Luke Skywalker?,"He is the son of Anakin Skywalker and Padmé Amidala, the older twin brother of Leia Organa, the maternal uncle of Ben Solo, and the second Jedi Padawan of both Obi-Wan Kenobi and Yoda. ",
ask_character_luke,Who portrayed Luke Skywalker?,"He is portrayed by Mark Hamill (who also voiced Corey Anders in Jeannie, Skips in Regular Show, Wolverine in X2: Wolverine's Revenge and Thorn in The Wild Robot), as Aiden Barton played the character as an infant in Revenge of the Sith, Max Lloyd Jones physically played the character in The Mandalorian, and Grant Feely portrayed a younger version of the character in Obi-Wan Kenobi. ",
ask_character_luke,Who were Luke Skywalker's Jedi mentors in the Star Wars franchise?," In the Star Wars galaxy, Luke Skywalker was mentored by N'Kata Del Gormo, Obi-Wan Kenobi, and Yoda. Anakin Skywalker, his father, also provided guidance until his redemption. Luke, in turn, mentored his sister Leia and later passed her lightsaber to Rey. ",
ask_character_relation,What is Luke Skywalker's relationship to Ben Solo in the Star Wars universe? ,"Luke Skywalker, a renowned figure in the Star Wars galaxy, is the uncle of Ben Solo, who is the son of Leia and Han Solo.",
